Store	Product	Date	Units	Revenue
20	food	3/15/2011	37	$16.28 
10	cds	11/29/2014	70	$19.60 
6	dvds	8/11/2010	68	$39.44 
4	dvds	5/11/2012	120	$92.40 
6	food	7/8/2011	129	$101.91 
6	books	9/7/2011	16	$2.24 
5	magazines	1/4/2014	101	$72.72 
18	cds	9/27/2011	67	$8.04 
15	magazines	9/29/2014	132	$105.60 
13	food	1/27/2011	38	$23.18 
7	books	4/13/2014	103	$17.51 
3	books	2/17/2010	127	$21.59 
16	food	6/6/2014	129	$29.67 
18	dvds	11/30/2011	149	$80.46 
17	cds	2/5/2010	64	$9.60 
2	books	6/18/2011	147	$26.46 
8	toys	6/22/2014	72	$12.24 
18	dvds	1/27/2013	85	$66.30 
12	food	5/15/2010	32	$15.68 
17	dvds	8/20/2012	115	$80.50 
12	dvds	8/9/2012	67	$52.93 
17	books	11/20/2012	98	$31.36 
2	books	7/16/2011	130	$24.70 
9	books	9/14/2014	137	$79.46 
4	toys	6/9/2014	30	$17.70 
6	toys	4/16/2014	135	$95.85 
11	food	1/8/2014	60	$6.00 
11	books	5/29/2013	68	$12.24 
19	cds	1/16/2014	149	$20.86 
19	magazines	8/7/2012	142	$75.26 
17	magazines	9/5/2012	146	$65.70 
11	food	11/7/2013	121	$44.77 
12	books	7/30/2010	32	$21.12 
14	dvds	1/29/2014	104	$66.56 
17	magazines	7/5/2013	82	$31.98 
13	food	8/13/2012	84	$35.28 
2	magazines	2/10/2013	114	$33.06 
1	cds	11/24/2013	132	$55.44 
12	food	9/12/2013	114	$19.38 
17	dvds	2/13/2010	150	$114.00 
1	magazines	11/29/2013	107	$53.50 
3	magazines	2/2/2014	148	$56.24 
4	magazines	7/16/2012	27	$20.52 
7	food	2/7/2014	86	$51.60 
17	food	1/29/2011	42	$16.38 
10	books	3/12/2013	119	$89.25 
7	dvds	3/6/2014	131	$45.85 
16	books	8/6/2014	83	$32.37 
13	toys	6/2/2010	63	$40.32 
16	books	8/6/2010	11	$1.65 
16	books	12/13/2013	127	$91.44 
17	toys	3/27/2013	90	$54.90 
13	magazines	5/12/2013	120	$82.80 
12	dvds	12/20/2010	14	$9.80 
5	food	6/8/2011	116	$49.88 
11	magazines	10/15/2014	108	$73.44 
15	cds	9/18/2011	74	$11.10 
17	toys	10/11/2012	56	$42.00 
3	dvds	10/1/2010	119	$78.54 
5	food	12/13/2014	63	$8.82 
19	toys	5/5/2013	63	$18.27 
19	magazines	11/4/2014	103	$71.07 
16	dvds	8/13/2010	149	$92.38 
12	dvds	8/24/2013	82	$50.02 
2	magazines	9/25/2012	107	$51.36 
8	toys	3/24/2013	99	$65.34 
8	dvds	12/23/2012	68	$37.40 
5	dvds	4/5/2013	49	$17.15 
19	toys	5/5/2010	14	$2.66 
10	toys	6/10/2011	114	$36.48 
16	toys	12/5/2011	40	$10.80 
5	magazines	12/7/2012	115	$77.05 
7	toys	5/12/2010	68	$24.48 
12	books	1/26/2014	73	$27.74 
16	dvds	1/24/2010	104	$12.48 
17	books	6/15/2012	90	$31.50 
20	magazines	9/20/2013	29	$20.59 
14	toys	10/28/2010	21	$15.54 
15	magazines	11/2/2014	140	$33.60 
6	books	3/10/2012	130	$55.90 
5	dvds	12/1/2013	11	$7.15 
19	dvds	6/29/2010	102	$75.48 
11	cds	6/24/2014	113	$27.12 
11	toys	1/12/2014	38	$25.08 
17	cds	6/22/2011	135	$18.90 
8	cds	10/10/2013	27	$5.67 
11	toys	9/4/2011	35	$22.05 
18	cds	6/26/2013	59	$21.24 
11	magazines	8/25/2012	73	$15.33 
9	magazines	4/6/2012	147	$80.85 
17	food	10/31/2011	82	$31.98 
4	toys	4/10/2014	109	$25.07 
12	magazines	12/25/2010	110	$67.10 
16	cds	1/21/2012	135	$108.00 
10	food	9/18/2010	33	$11.55 
10	magazines	11/25/2010	90	$21.60 
2	dvds	5/27/2010	134	$60.30 
6	books	5/11/2010	57	$17.67 
1	books	2/9/2014	101	$32.32 
17	food	8/9/2012	91	$27.30 
17	toys	3/18/2011	93	$9.30 
13	books	8/1/2013	136	$107.44 
14	dvds	10/4/2013	34	$9.52 
8	books	10/22/2010	111	$48.84 
17	magazines	1/31/2014	101	$15.15 
7	toys	7/27/2012	31	$24.80 
5	dvds	3/5/2012	56	$10.64 
6	dvds	8/28/2014	35	$17.15 
17	toys	12/5/2010	95	$22.80 
11	toys	3/15/2011	19	$10.07 
1	magazines	7/24/2014	34	$16.66 
7	books	12/18/2013	117	$19.89 
13	magazines	8/15/2014	129	$41.28 
16	dvds	1/22/2011	63	$16.38 
16	food	11/29/2014	92	$63.48 
1	dvds	11/16/2011	90	$23.40 
3	dvds	1/29/2011	67	$7.37 
8	toys	10/12/2011	85	$46.75 
4	books	6/6/2014	13	$7.54 
5	food	5/8/2012	139	$88.96 
17	cds	12/14/2013	95	$39.90 
16	books	12/10/2010	17	$9.18 
1	books	11/12/2012	115	$36.80 
3	magazines	5/2/2013	84	$26.04 
4	magazines	7/27/2014	101	$14.14 
8	toys	4/15/2013	27	$6.21 
16	dvds	9/25/2014	133	$55.86 
3	dvds	9/28/2012	27	$5.94 
1	magazines	5/24/2014	62	$36.58 
17	dvds	7/25/2010	50	$38.00 
16	toys	2/17/2013	54	$28.08 
15	books	11/25/2010	67	$41.54 
13	dvds	9/18/2012	81	$44.55 
7	dvds	9/27/2014	39	$28.47 
4	dvds	2/20/2012	116	$39.44 
20	dvds	9/10/2011	96	$61.44 
13	toys	11/23/2012	117	$59.67 
15	magazines	12/5/2012	16	$5.76 
18	cds	8/22/2010	99	$18.81 
3	toys	10/16/2013	48	$20.64 
1	magazines	2/26/2013	98	$12.74 
12	toys	3/20/2012	109	$61.04 
20	toys	10/28/2014	28	$19.88 
13	toys	12/22/2010	39	$12.87 
5	dvds	11/24/2012	126	$31.50 
18	magazines	6/6/2010	40	$15.20 
3	food	12/30/2010	65	$33.80 
13	books	10/4/2011	67	$26.80 
18	cds	10/30/2011	21	$5.46 
4	toys	10/31/2013	135	$58.05 
6	dvds	10/4/2011	60	$9.60 
20	cds	6/22/2014	120	$61.20 
2	magazines	10/17/2014	46	$14.26 
17	cds	11/10/2014	28	$10.64 
13	books	11/2/2011	24	$8.88 
18	books	10/14/2014	125	$73.75 
15	magazines	12/21/2010	107	$13.91 
20	magazines	9/4/2010	127	$74.93 
13	magazines	10/20/2011	57	$6.84 
11	food	4/15/2011	58	$45.82 
13	toys	3/20/2011	45	$34.65 
3	food	2/11/2012	133	$30.59 
4	dvds	10/2/2012	65	$30.55 
15	magazines	4/30/2013	148	$14.80 
8	cds	11/26/2010	142	$32.66 
9	magazines	7/21/2011	48	$24.48 
1	dvds	8/18/2010	128	$79.36 
8	food	3/14/2014	98	$53.90 
8	magazines	6/5/2014	57	$31.35 
20	books	2/25/2011	129	$14.19 
13	food	2/24/2014	113	$49.72 
5	dvds	6/17/2010	106	$74.20 
8	cds	8/27/2010	36	$23.40 
16	cds	6/29/2010	74	$51.06 
13	magazines	7/28/2011	128	$58.88 
16	dvds	8/29/2014	105	$56.70 
12	toys	5/8/2014	116	$59.16 
2	food	4/20/2012	25	$17.00 
13	dvds	8/3/2012	29	$17.11 
7	books	12/4/2010	132	$30.36 
1	cds	5/7/2013	65	$20.15 
20	books	4/10/2013	147	$20.58 
17	books	5/6/2014	114	$85.50 
2	dvds	11/18/2014	142	$48.28 
19	magazines	10/24/2014	143	$105.82 
17	toys	2/24/2010	127	$78.74 
6	toys	1/24/2011	14	$5.88 
16	dvds	9/6/2012	126	$39.06 
1	dvds	8/14/2011	52	$21.32 
15	cds	12/15/2014	83	$66.40 
1	magazines	3/27/2011	12	$4.08 
14	dvds	8/25/2011	44	$33.00 
8	dvds	2/25/2011	106	$75.26 
14	books	6/16/2013	144	$110.88 
15	cds	1/10/2012	79	$34.76 
4	cds	6/1/2010	85	$10.20 
18	toys	2/22/2010	42	$10.08 
14	books	3/11/2014	26	$4.16 
12	magazines	1/18/2012	37	$28.12 
12	cds	3/21/2011	66	$46.20 
